object_name,platform,target_gene,symbol_col,initial_probe_ids,n_initial_probes
GSE65682,GPL13667,RETN,Gene Symbol,11730007_a_at | 11730008_x_at,2
GSE65682,GPL13667,MCEMP1,Gene Symbol,NA,0
GSE65682,GPL13667,CYP1B1,Gene Symbol,11720409_s_at | 11720410_s_at | 11720411_s_at | 11747104_s_at,4
GSE65682,GPL13667,S100A12,Gene Symbol,11725138_at,1
GSE65682,GPL13667,S100A8,Gene Symbol,11753823_a_at,1
GSE65682,GPL13667,HK3,Gene Symbol,11757186_a_at,1
GSE28750,GPL570,RETN,Gene Symbol,220570_at,1
GSE28750,GPL570,MCEMP1,Gene Symbol,235568_at,1
GSE28750,GPL570,CYP1B1,Gene Symbol,202434_s_at | 202435_s_at | 202436_s_at | 202437_s_at,4
GSE28750,GPL570,S100A12,Gene Symbol,205863_at,1
GSE28750,GPL570,S100A8,Gene Symbol,202917_s_at | 214370_at,2
GSE28750,GPL570,HK3,Gene Symbol,205936_s_at,1
GSE26378,GPL570,RETN,Gene Symbol,220570_at,1
GSE26378,GPL570,MCEMP1,Gene Symbol,235568_at,1
GSE26378,GPL570,CYP1B1,Gene Symbol,202434_s_at | 202435_s_at | 202436_s_at | 202437_s_at,4
GSE26378,GPL570,S100A12,Gene Symbol,205863_at,1
GSE26378,GPL570,S100A8,Gene Symbol,202917_s_at | 214370_at,2
GSE26378,GPL570,HK3,Gene Symbol,205936_s_at,1
